"","admin2Name","CV"
"1","Garbahaarey",99.9710667612961
"2","Zeylac",64.2447563128357
"3","Owdweyne",42.8661018880884
"4","Laasqoray",41.890338522415
"5","Caynabo",41.1926513271123
"6","Lughaye",38.4224592262522
"7","Caluula",35.1513527407806
"8","Baki",32.1325650620347
"9","Iskushuban",31.7864217573557
"10","Sheikh",30.1097632591349
"11","Taleex",29.7820503314201
"12","Belet Xaawo",28.2015961322108
"13","Hobyo",26.9431397792375
"14","Cadale",26.7932541447371
"15","Ceel Afweyn",26.1846048904051
"16","Gebiley",23.8459284498213
"17","Qardho",22.1374536095529
"18","Bulo Burto",20.7242351312505
"19","Cadaado",20.0002064874159
"20","Baardheere",19.8347271930515
"21","Doolow",19.7454717406213
"22","Eyl",19.5192035727178
"23","Galdogob",19.2652612728388
"24","Buuhoodle",18.7030603256961
"25","Garoowe",17.4026113500639
"26","Ceerigaabo",16.9428931131414
"27","Burtinle",16.9172896495407
"28","Dhuusamarreeb",14.9693568328126
"29","Afmadow",14.8744827789561
"30","Borama",14.8569512769782
"31","Waajid",14.8112048425076
"32","Bossaso",14.7716866559696
"33","Xudur",14.7451391474218
"34","Luuq",14.6371226535588
"35","Cabudwaaq",13.9100856365043
"36","Laas Caanood",13.1610051006578
"37","Hargeysa",12.9662979698451
"38","Berbera",12.535584682288
"39","Burco",12.3520338840011
"40","Balcad",11.8767928937264
"41","Kismaayo",11.0185459463405
"42","Ceel Barde",10.4540108232293
"43","Jowhar",9.89330952771057
"44","Baydhaba",9.80072512881716
"45","Gaalkacyo",9.74950206650048
"46","Afgooye",9.31985042769123
"47","Belet Weyne",7.69942071488219
"48","Banadir",7.61020421248485
