"","Domain","Direct","FH","Out","admin2Name"
"1",1101,0.297543997105364,0.332503603381845,0,"Borama"
"2",1102,0.518767207393476,0.536991892529628,0,"Baki"
"3",1103,0.767857142857143,0.573178788698241,0,"Lughaye"
"4",1104,NA,0.546793899924474,1,"Zeylac"
"5",1201,0.405982142525084,0.431589274963829,0,"Hargeysa"
"6",1202,0.505944612246371,0.51170972626401,0,"Berbera"
"7",1203,0.534220827009291,0.541344294762113,0,"Gebiley"
"8",1301,0.419417855991467,0.421915745516745,0,"Burco"
"9",1302,0.589822391679801,0.504861328774257,0,"Buuhoodle"
"10",1303,0.273188809006229,0.395116164184783,0,"Owdweyne"
"11",1304,0.29113967604909,0.376477515779356,0,"Sheikh"
"12",1401,0.4178359059633,0.426499126795644,0,"Laas Caanood"
"13",1402,0.38274839194839,0.441797650129331,0,"Caynabo"
"14",1403,0.795159653703028,0.564657037323821,0,"Taleex"
"15",1404,NA,0.50536657984398,1,"Xudun"
"16",1501,0.388482035309616,0.429617965948717,0,"Ceerigaabo"
"17",1502,0.675076900948935,0.564706958844936,0,"Ceel Afweyn"
"18",1503,NA,0.541060954453727,1,"Laasqoray"
"19",1601,0.309841668040937,0.327241825595995,0,"Bossaso"
"20",1602,NA,0.482695044812909,1,"Bandarbeyla"
"21",1603,0.411941012464921,0.478827430375079,0,"Caluula"
"22",1604,0.341599602647762,0.432256829062548,0,"Iskushuban"
"23",1605,NA,0.546793899924474,1,"Qandala"
"24",1606,0.496064469228997,0.504867010500499,0,"Qardho"
"25",1701,0.29152159099823,0.319837601199771,0,"Garoowe"
"26",1702,0.275654455908669,0.272069009413953,0,"Burtinle"
"27",1703,0.928954906737529,0.647706499543196,0,"Eyl"
"28",1801,0.662107487714482,0.62169161293495,0,"Gaalkacyo"
"29",1802,0.702826410043096,0.607885047582634,0,"Galdogob"
"30",1803,0.828865158320646,0.564191940092539,0,"Hobyo"
"31",1804,NA,0.524958348886556,1,"Jariiban"
"32",1805,NA,0.481936035252866,1,"Xarardheere"
"33",1901,0.405245909612746,0.418797374810991,0,"Dhuusamarreeb"
"34",1902,0.528228332080955,0.534057263689314,0,"Cabudwaaq"
"35",1903,0.687565786073878,0.600874902250247,0,"Cadaado"
"36",1904,NA,0.499270125543524,1,"Ceel Buur"
"37",1905,NA,0.504112832044295,1,"Ceel Dheer"
"38",2001,0.821123173061709,0.815379854295419,0,"Belet Weyne"
"39",2002,0.765148946202106,0.801279880552119,0,"Bulo Burto"
"40",2003,NA,0.816410533177317,1,"Jalalaqsi"
"41",2101,0.8554696907347,0.854345074180383,0,"Jowhar"
"42",2102,NA,0.847702610477987,1,"Adan Yabaal"
"43",2103,0.898729384477772,0.878798137686498,0,"Balcad"
"44",2104,0.757814292907866,0.836406874130873,0,"Cadale"
"45",2201,0.439667127509688,0.443197167887195,0,"Banadir"
"46",2301,NA,0.532809031211475,1,"Marka"
"47",2302,0.533881744102495,0.531169156312811,0,"Afgooye"
"48",2303,NA,0.519099551581193,1,"Baraawe"
"49",2304,NA,0.53031999180849,1,"Kurtunwaarey"
"50",2305,NA,0.525434651321151,1,"Qoryooley"
"51",2306,NA,0.515626932188807,1,"Sablaale"
"52",2307,NA,0.491856624522727,1,"Wanla Weyn"
"53",2401,0.571662860827875,0.560379860700053,0,"Baydhaba"
"54",2402,NA,0.532003953753076,1,"Buur Hakaba"
"55",2403,NA,0.520811157148058,1,"Diinsoor"
"56",2404,NA,0.528043350165516,1,"Qansax Dheere"
"57",2501,0.61251608093512,0.562830217027195,0,"Xudur"
"58",2502,0.77616456919287,0.678132916221757,0,"Ceel Barde"
"59",2503,NA,0.499480518356311,1,"Tayeeglow"
"60",2504,0.830909237183149,0.621146795231123,0,"Waajid"
"61",2505,NA,0.465610162959226,1,"Rab Dhuure"
"62",2601,NA,0.517623693487029,1,"Garbahaarey"
"63",2602,0.702141921759152,0.600859711691564,0,"Baardheere"
"64",2603,0.271790662059713,0.349084685830751,0,"Belet Xaawo"
"65",2604,NA,0.536346716118039,1,"Ceel Waaq"
"66",2605,0.66327926700826,0.580812511510683,0,"Doolow"
"67",2606,0.738699840281189,0.636236637246416,0,"Luuq"
"68",2701,NA,0.513523035386317,1,"Bu'aale"
"69",2702,NA,0.524189453686127,1,"Jilib"
"70",2703,NA,0.50686536458771,1,"Saakow"
"71",2801,0.576198148009139,0.559724408691672,0,"Kismaayo"
"72",2802,0.592389281615513,0.568511583326837,0,"Afmadow"
"73",2803,NA,0.10599913041833,1,"Badhaadhe"
"74",2804,NA,0.523069714106496,1,"Jamaame"
