"","Domain","Direct","FH","Out","admin2Name"
"1",1101,0.297543997105364,0.307655313090932,0,"Borama"
"2",1102,0.518767207393476,0.470043422112947,0,"Baki"
"3",1103,0.767857142857143,0.504129868566337,0,"Lughaye"
"4",1104,NA,0.337293118364571,1,"Zeylac"
"5",1201,0.405982142525084,0.410858036898448,0,"Hargeysa"
"6",1202,0.505944612246371,0.496704829020411,0,"Berbera"
"7",1203,0.534220827009291,0.586228878263849,0,"Gebiley"
"8",1301,0.419417855991467,0.411991057945141,0,"Burco"
"9",1302,0.589822391679801,0.52816280438247,0,"Buuhoodle"
"10",1303,0.273188809006229,0.397832148411568,0,"Owdweyne"
"11",1304,0.29113967604909,0.364828820235119,0,"Sheikh"
"12",1401,0.4178359059633,0.435320225406398,0,"Laas Caanood"
"13",1402,0.38274839194839,0.459699259569029,0,"Caynabo"
"14",1403,0.795159653703028,0.619733147215272,0,"Taleex"
"15",1404,NA,0.601192126398897,1,"Xudun"
"16",1501,0.388482035309616,0.455475743837601,0,"Ceerigaabo"
"17",1502,0.675076900948935,0.479802202280283,0,"Ceel Afweyn"
"18",1503,NA,0.423491095437712,1,"Laasqoray"
"19",1601,0.309841668040937,0.305484350693876,0,"Bossaso"
"20",1602,NA,0.577397280774313,1,"Bandarbeyla"
"21",1603,0.411941012464921,0.499760782570779,0,"Caluula"
"22",1604,0.341599602647762,0.453439319529759,0,"Iskushuban"
"23",1605,NA,0.600421447849673,1,"Qandala"
"24",1606,0.496064469228997,0.408992252423607,0,"Qardho"
"25",1701,0.29152159099823,0.314559448914479,0,"Garoowe"
"26",1702,0.275654455908669,0.283414270965716,0,"Burtinle"
"27",1703,0.928954906737529,0.517337985131871,0,"Eyl"
"28",1801,0.662107487714482,0.587492020844156,0,"Gaalkacyo"
"29",1802,0.702826410043096,0.640365628211095,0,"Galdogob"
"30",1803,0.828865158320646,0.635286049932854,0,"Hobyo"
"31",1804,NA,0.475886950014383,1,"Jariiban"
"32",1805,NA,0.531578176889949,1,"Xarardheere"
"33",1901,0.405245909612746,0.457086749025625,0,"Dhuusamarreeb"
"34",1902,0.528228332080955,0.546775530516316,0,"Cabudwaaq"
"35",1903,0.687565786073878,0.620141441401177,0,"Cadaado"
"36",1904,NA,0.469964400135243,1,"Ceel Buur"
"37",1905,NA,0.51232208295856,1,"Ceel Dheer"
"38",2001,0.821123173061709,0.804200148801304,0,"Belet Weyne"
"39",2002,0.765148946202106,0.871610854974896,0,"Bulo Burto"
"40",2003,NA,0.858622512282346,1,"Jalalaqsi"
"41",2101,0.8554696907347,0.812931540979448,0,"Jowhar"
"42",2102,NA,0.471647506433819,1,"Adan Yabaal"
"43",2103,0.898729384477772,0.755222354366095,0,"Balcad"
"44",2104,0.757814292907866,0.588012047162175,0,"Cadale"
"45",2201,0.439667127509688,0.457798390255393,0,"Banadir"
"46",2301,NA,0.560487333063302,1,"Marka"
"47",2302,0.533881744102495,0.562250941031534,0,"Afgooye"
"48",2303,NA,0.566835801485583,1,"Baraawe"
"49",2304,NA,0.685311960810595,1,"Kurtunwaarey"
"50",2305,NA,0.706947099245131,1,"Qoryooley"
"51",2306,NA,0.368015303711889,1,"Sablaale"
"52",2307,NA,0.573665353349892,1,"Wanla Weyn"
"53",2401,0.571662860827875,0.539268916141924,0,"Baydhaba"
"54",2402,NA,0.481753943336063,1,"Buur Hakaba"
"55",2403,NA,0.512568867406853,1,"Diinsoor"
"56",2404,NA,0.53954805353263,1,"Qansax Dheere"
"57",2501,0.61251608093512,0.658071378966107,0,"Xudur"
"58",2502,0.77616456919287,0.762111991205142,0,"Ceel Barde"
"59",2503,NA,0.716001839286419,1,"Tayeeglow"
"60",2504,0.830909237183149,0.778651466022899,0,"Waajid"
"61",2505,NA,0.795210170664916,1,"Rab Dhuure"
"62",2601,NA,0.486730822447816,1,"Garbahaarey"
"63",2602,0.702141921759152,0.557818240717003,0,"Baardheere"
"64",2603,0.271790662059713,0.36659866641399,0,"Belet Xaawo"
"65",2604,NA,0.45612219762614,1,"Ceel Waaq"
"66",2605,0.66327926700826,0.537795371448052,0,"Doolow"
"67",2606,0.738699840281189,0.631743341504032,0,"Luuq"
"68",2701,NA,0.472761044582935,1,"Bu'aale"
"69",2702,NA,0.71182004322082,1,"Jilib"
"70",2703,NA,0.527386141430359,1,"Saakow"
"71",2801,0.576198148009139,0.538940858493749,0,"Kismaayo"
"72",2802,0.592389281615513,0.594932064514978,0,"Afmadow"
"73",2803,NA,0.509883060595001,1,"Badhaadhe"
"74",2804,NA,0.467717968965469,1,"Jamaame"
