"","variables","coefficients","std_error"
"1","(Intercept)","0.165","0.135"
"2","rri","0.003**","0.001"
"3","carrao_haza","0.185","0.125"
"4","SO20","0.302**","0.109"
"5","SO25","0.276**","0.092"
"6","vhi_area_gu_2020","0.005**","0.002"
"7","som_pop_dens_per_poparea","0.0000027","0.0000054"
"8","harv_area_maiz_share_in_all_crops","0.014***","0.004"
"9","SO26","-0.22**","0.074"
"10","prod_quant_maiz_share_in_all_crops","-0.0079***","0.002"
"11","harv_area_vege_share_in_all_crops","-0.033***","0.009"
