"","targetarea_codes","admin2Pcod","admin0Pcod","admin1Pcod","admin2Name","area","estimated_population_current","FH","Direct","poppoor"
"1",1101,"SO1101","SO","SO11","Borama",3100.89488146716,391181,0.295191014864437,0.297543997105364,115473.116385685
"2",1102,"SO1102","SO","SO11","Baki",3435.78721190125,59923,0.511338477620683,0.518767207393476,30640.9355944642
"3",1103,"SO1103","SO","SO11","Lughaye",3350.48130767895,62671,0.56384457962035,0.767857142857143,35336.703649387
"4",1104,"SO1104","SO","SO11","Zeylac",6065.02315057404,60237,0.196956129390415,0.172653881202566,11864.0463660905
"5",1201,"SO1201","SO","SO12","Hargeysa",13768.4224680092,947606,0.398369639651975,0.405982142525084,377497.46075205
"6",1202,"SO1202","SO","SO12","Berbera",10300.7410366417,172157,0.501843188940734,0.505944612246371,86395.81787847
"7",1203,"SO1203","SO","SO12","Gebiley",4295.01854484815,192183,0.483496467325506,0.534220827009291,92919.8015800178
"8",1301,"SO1301","SO","SO13","Burco",16145.9331700736,471681,0.423762040658134,0.419417855991467,199880.503099669
"9",1302,"SO1302","SO","SO13","Buuhoodle",6823.86121144698,88269,0.562138893108413,0.589822391679801,49619.4379557865
"10",1303,"SO1303","SO","SO13","Owdweyne",8392.74618453498,88793,0.347145848663966,0.273188809006229,30824.1213404195
"11",1304,"SO1304","SO","SO13","Sheikh",2974.48866242893,114871,0.320643647485645,0.29113967604909,36832.6564303236
"12",1401,"SO1401","SO","SO14","Laas Caanood",11615.8588527185,239391,0.426720355219271,0.4178359059633,102153.012556297
"13",1402,"SO1402","SO","SO14","Caynabo",8103.60248757312,87176,0.441238144522801,0.38274839194839,38465.3764869197
"14",1403,"SO1403","SO","SO14","Taleex",8624.90774069345,84131,0.596109929619547,0.795159653703028,50151.3244888221
"15",1404,"SO1404","SO","SO14","Xudun",9139.86166244036,86873,0.503048025001266,NA,43701.291075935
"16",1501,"SO1501","SO","SO15","Ceerigaabo",26072.7565977832,160748,0.40468664331218,0.388482035309616,65052.5685391462
"17",1502,"SO1502","SO","SO15","Ceel Afweyn",15735.1429426001,84258,0.581168664916415,0.675076900948935,48968.1093685273
"18",1503,"SO1503","SO","SO15","Laasqoray",12222.7713957749,143553,0.132596513420182,0.105168281001442,19034.6272910074
"19",1601,"SO1601","SO","SO16","Bossaso",7910.43982551867,719181,0.324110143802828,0.309841668040937,233093.857330262
"20",1602,"SO1602","SO","SO16","Bandarbeyla",11330.9855003401,45459,0.502470362003815,NA,22841.8001863314
"21",1603,"SO1603","SO","SO16","Caluula",4547.86209250785,86601,0.452197070196517,0.411941012464921,39160.7184760886
"22",1604,"SO1604","SO","SO16","Iskushuban",18432.4353061353,54527,0.391544456680119,0.341599602647762,21349.7445893969
"23",1605,"SO1605","SO","SO16","Qandala",7426.58897028751,58371,0.502470362003815,NA,29329.6975005247
"24",1606,"SO1606","SO","SO16","Qardho",18708.9966883967,152711,0.498093136329751,0.496064469228997,76064.3009420527
