"","targetarea_codes","admin2Pcod","admin0Pcod","admin1Pcod","admin2Name","area","estimated_population_current","FH","Direct","poppoor"
"1",1101,"SO1101","SO","SO11","Borama",3100.89488146716,391181,0.307655313090932,0.297543997105364,120348.913030224
"2",1102,"SO1102","SO","SO11","Baki",3435.78721190125,59923,0.470043422112947,0.518767207393476,28166.4119832741
"3",1103,"SO1103","SO","SO11","Lughaye",3350.48130767895,62671,0.504129868566337,0.767857142857143,31594.3229929209
"4",1104,"SO1104","SO","SO11","Zeylac",6065.02315057404,60237,0.337293118364571,NA,20317.5255709266
"5",1201,"SO1201","SO","SO12","Hargeysa",13768.4224680092,947606,0.410858036898448,0.405982142525084,389331.540913191
"6",1202,"SO1202","SO","SO12","Berbera",10300.7410366417,172157,0.496704829020411,0.505944612246371,85511.2132496669
"7",1203,"SO1203","SO","SO12","Gebiley",4295.01854484815,192183,0.586228878263849,0.534220827009291,112663.224511381
"8",1301,"SO1301","SO","SO13","Burco",16145.9331700736,471681,0.411991057945141,0.419417855991467,194328.354202622
"9",1302,"SO1302","SO","SO13","Buuhoodle",6823.86121144698,88269,0.52816280438247,0.589822391679801,46620.4025800362
"10",1303,"SO1303","SO","SO13","Owdweyne",8392.74618453498,88793,0.397832148411568,0.273188809006229,35324.7099539084
"11",1304,"SO1304","SO","SO13","Sheikh",2974.48866242893,114871,0.364828820235119,0.29113967604909,41908.2514092284
"12",1401,"SO1401","SO","SO14","Laas Caanood",11615.8588527185,239391,0.435320225406398,0.4178359059633,104211.744080263
"13",1402,"SO1402","SO","SO14","Caynabo",8103.60248757312,87176,0.459699259569029,0.38274839194839,40074.7426521897
"14",1403,"SO1403","SO","SO14","Taleex",8624.90774069345,84131,0.619733147215272,0.795159653703028,52138.769408368
"15",1404,"SO1404","SO","SO14","Xudun",9139.86166244036,86873,0.601192126398897,NA,52227.3635966513
"16",1501,"SO1501","SO","SO15","Ceerigaabo",26072.7565977832,160748,0.455475743837601,0.388482035309616,73216.8148704067
"17",1502,"SO1502","SO","SO15","Ceel Afweyn",15735.1429426001,84258,0.479802202280283,0.675076900948935,40427.1739597321
"18",1503,"SO1503","SO","SO15","Laasqoray",12222.7713957749,143553,0.423491095437712,NA,60793.4172233698
"19",1601,"SO1601","SO","SO16","Bossaso",7910.43982551867,719181,0.305484350693876,0.309841668040937,219698.540816372
"20",1602,"SO1602","SO","SO16","Bandarbeyla",11330.9855003401,45459,0.577397280774313,NA,26247.9029867195
"21",1603,"SO1603","SO","SO16","Caluula",4547.86209250785,86601,0.499760782570779,0.411941012464921,43279.783531412
"22",1604,"SO1604","SO","SO16","Iskushuban",18432.4353061353,54527,0.453439319529759,0.341599602647762,24724.6857759991
"23",1605,"SO1605","SO","SO16","Qandala",7426.58897028751,58371,0.600421447849673,NA,35047.2003324333
"24",1606,"SO1606","SO","SO16","Qardho",18708.9966883967,152711,0.408992252423607,0.496064469228997,62457.6158598615
"25",1701,"SO1701","SO","SO17","Garoowe",8628.14725855622,300540,0.314559448914479,0.29152159099823,94537.6967767574
"26",1702,"SO1702","SO","SO17","Burtinle",9712.16655105464,118031,0.283414270965716,0.275654455908669,33451.6698163545
"27",1703,"SO1703","SO","SO17","Eyl",9348.8893547566,154076,0.517337985131871,0.928954906737529,79709.3673971782
