"","admin2Pcod","admin2Name","num_hhs","num_ea"
"1","SO1101","Borama",237,20
"2","SO1102","Baki",24,2
"3","SO1103","Lughaye",12,1
"4","SO1104","Zeylac",24,2
"5","SO1201","Hargeysa",251,21
"6","SO1202","Berbera",251,21
"7","SO1203","Gebiley",48,4
"8","SO1301","Burco",203,17
"9","SO1302","Buuhoodle",60,5
"10","SO1303","Owdweyne",36,3
"11","SO1304","Sheikh",48,4
"12","SO1401","Laas Caanood",235,20
"13","SO1402","Caynabo",36,3
"14","SO1403","Taleex",24,2
"15","SO1501","Ceerigaabo",156,13
"16","SO1502","Ceel Afweyn",36,3
"17","SO1503","Laasqoray",120,10
"18","SO1601","Bossaso",201,17
"19","SO1603","Caluula",36,3
"20","SO1604","Iskushuban",35,3
"21","SO1606","Qardho",72,6
"22","SO1701","Garoowe",156,13
"23","SO1702","Burtinle",143,12
"24","SO1703","Eyl",48,4
"25","SO1801","Gaalkacyo",264,22
"26","SO1802","Galdogob",60,5
"27","SO1803","Hobyo",24,2
"28","SO1901","Dhuusamarreeb",144,12
"29","SO1902","Cabudwaaq",156,13
"30","SO1903","Cadaado",48,4
"31","SO2001","Belet Weyne",311,26
"32","SO2002","Bulo Burto",36,3
"33","SO2101","Jowhar",192,16
"34","SO2103","Balcad",132,11
"35","SO2104","Cadale",24,2
"36","SO2201","Banadir",612,51
"37","SO2302","Afgooye",348,29
"38","SO2401","Baydhaba",347,29
"39","SO2501","Xudur",108,9
"40","SO2502","Ceel Barde",167,14
"41","SO2504","Waajid",64,6
"42","SO2601","Garbahaarey",24,2
"43","SO2602","Baardheere",60,5
"44","SO2603","Belet Xaawo",72,6
"45","SO2605","Doolow",107,9
"46","SO2606","Luuq",84,7
"47","SO2801","Kismaayo",237,20
"48","SO2802","Afmadow",108,9
