Variable,Labels
som_bse_2015,som_bse_2015
som_bse_2020,som_bse_2020
som_bse_2001,som_bse_2001
som_bse_2005,som_bse_2005
som_bse_2010,som_bse_2010
som_bse_2015_share,som_bse_2015_share
som_bse_2020_share,som_bse_2020_share
som_bse_2001_share,som_bse_2001_share
som_bse_2005_share,som_bse_2005_share
som_bse_2010_share,som_bse_2010_share
som_bse_2020_2001_share,som_bse_2020_2001_share
som_bse_2020_2001,som_bse_2020_2001
pop_wp,Population (World Pop)
pop_wp_rsc,Population adjusted constrained (World Pop)
pop_wp_dens,Population Density (World Pop) 
pop_wp_rsc_dens,Population Density adjusted constrained (World Pop)
plant_area_bana_share_in_all_crops,Planting area for banana as a share of all crops
plant_area_bean_share_in_all_crops,Planting area for beans as a share of all crops
plant_area_cass_share_in_all_crops,Planting area for cassava as a share of all crops
plant_area_maiz_share_in_all_crops,Planting area for maize as a share of all crops
plant_area_sesa_share_in_all_crops,Planting area for sesame as a share of all crops
plant_area_sorg_share_in_all_crops,Planting area for sorghum as a share of all crops
plant_area_sugc_share_in_all_crops,Planting area for sugar as a share of all crops
plant_area_temf_share_in_all_crops,Planting area for temf as a share of all crops
plant_area_trof_share_in_all_crops,Planting area for temf as a share of all crops
plant_area_vege_share_in_all_crops,Planting area for vegetable as a share of all crops
harv_area_bana_share_in_all_crops,Harvest area for banana as a share of all crops
harv_area_bean_share_in_all_crops,Harvest area for beans as a share of all crops
harv_area_cass_share_in_all_crops,Harvest area for cassava as a share of all crops
harv_area_maiz_share_in_all_crops,Harvest area for maize as a share of all crops
harv_area_sesa_share_in_all_crops,Harvest area for sesame as a share of all crops
harv_area_sorg_share_in_all_crops,Harvest area for sorghum as a share of all crops
harv_area_sugc_share_in_all_crops,Harvest area for sugar as a share of all crops
harv_area_temf_share_in_all_crops,Harvest area for temf as a share of all crops
harv_area_trof_share_in_all_crops,Harvest area for temf as a share of all crops
harv_area_vege_share_in_all_crops,Harvest area for vegetable as a share of all crops
prod_quant_bana_share_in_all_crops,Production quantity for banana as a share of all crops
prod_quant_bean_share_in_all_crops,Production quantity for beans as a share of all crops
prod_quant_cass_share_in_all_crops,Production quantity for cassava as a share of all crops
prod_quant_maiz_share_in_all_crops,Production quantity for maize as a share of all crops
prod_quant_sesa_share_in_all_crops,Production quantity for sesame as a share of all crops
prod_quant_sorg_share_in_all_crops,Production quantity for sorghum as a share of all crops
prod_quant_sugc_share_in_all_crops,Production quantity for sugar as a share of all crops
prod_quant_temf_share_in_all_crops,Production quantity for temf as a share of all crops
prod_quant_trof_share_in_all_crops,Production quantity for temf as a share of all crops
prod_quant_vege_share_in_all_crops,Production quantity for vegetable as a share of all crops
prodmt_reg_shr_bana,Production quantity for banana as a share of all crops
prodmt_reg_shr_bean,Production quantity for beans as a share of all crops
prodmt_reg_shr_cass,Production quantity for cassava as a share of all crops
prodmt_reg_shr_maiz,Production quantity for maize as a share of all crops
prodmt_reg_shr_sesa,Production quantity for sesame as a share of all crops
prodmt_reg_shr_sorg,Production quantity for sorghum as a share of all crops
prodmt_reg_shr_sugc,Production quantity for sugar as a share of all crops
prodmt_reg_shr_temf,Production quantity for temf as a share of all crops
prodmt_reg_shr_trof,Production quantity for temf as a share of all crops
prodmt_reg_shr_vege,Production quantity for vegetable as a share of all crops
spei_mean_2020_12,The average Standardized Precipitation Evapotranspiration Index (SPEI) in 2020
carrao_expo,"Drought exposure estimates (carrao et al., 2016)"
carrao_haza,"Drought hazard estimates (carrao et al., 2016)"
carrao_risk,"Drought risk estimates (carrao et al., 2016)"
carrao_vuln,"Drought vulnerability estimates (carrao et al., 2016)"
irr_haz,Irrigation Hazard
irr_risk,Irrigation Risk
rain_haz,Rainfall Hazard
rain_risk,Rainfall Risk
vhi_area_gu_2017,% of area (with VHI below 40) (during the 2017 Gu season)
vhi_area_gu_2018,% of area (with VHI below 40) (during the 2018 Gu season)
vhi_area_gu_2019,% of area (with VHI below 40) (during the 2019 Gu season)
vhi_area_gu_2020,% of area (with VHI below 40) (during the 2020 Gu season)
vhi_area_gu_2021,% of area (with VHI below 40) (during the 2021 Gu season)
vhi_area_gu_2022,% of area (with VHI below 40) (during the 2022 Gu season)
vhi_ag_area_gu_2017,% of cropland area in drought (with VHI below 40) (during the 2017 Gu season)
vhi_ag_area_gu_2018,% of cropland area in drought (with VHI below 40) (during the 2018 Gu season)
vhi_ag_area_gu_2019,% of cropland area in drought (with VHI below 40) (during the 2019 Gu season)
